"y"	"x"	"type"	"predictor"	"rep"	"score"	"value"
"165"	"basal.grps"	"path.vals"	"path-wise"	"predictorLDA"	2	"tpr"	1
"166"	"basal.grps"	"path.vals"	"path-wise"	"predictorRadialSVM"	2	"ppv"	1
"167"	"basal.grps"	"path.vals"	"path-wise"	"predictorRadialSVM"	2	"fval"	0.954545454545454
"168"	"basal.grps"	"path.vals"	"path-wise"	"predictorLogitLasso"	2	"auroc"	0.99768115942029
"169"	"surv.grps"	"eff.vals"	"path-wise"	"predictorRadialSVM"	2	"acc"	0.857954545454545
"170"	"surv.grps"	"eff.vals"	"path-wise"	"predictorLogitLasso"	2	"fpr"	0
"171"	"surv.grps"	"eff.vals"	"path-wise"	"predictorLDA"	2	"tpr"	0.653846153846154
"172"	"surv.grps"	"eff.vals"	"path-wise"	"predictorRadialSVM"	2	"ppv"	0.538461538461538
"173"	"surv.grps"	"eff.vals"	"path-wise"	"predictorSparseSVM"	2	"fval"	0.407407407407407
"174"	"surv.grps"	"eff.vals"	"path-wise"	"predictorRadialSVM"	2	"auroc"	0.715897435897436
"175"	"surv.grps"	"fun.vals"	"func-wise"	"predictorRF"	2	"acc"	0.875
"176"	"surv.grps"	"fun.vals"	"func-wise"	"predictorLogitLasso"	2	"fpr"	0
"177"	"surv.grps"	"fun.vals"	"func-wise"	"predictorLDA"	2	"tpr"	0.692307692307692
"178"	"surv.grps"	"fun.vals"	"func-wise"	"predictorRF"	2	"ppv"	1
"179"	"surv.grps"	"fun.vals"	"func-wise"	"predictorRadialSVM"	2	"fval"	0.315789473684211
"180"	"surv.grps"	"fun.vals"	"func-wise"	"predictorRadialSVM"	2	"auroc"	0.621282051282052
"181"	"surv.grps"	"genes.vals"	"gene-wise"	"predictorRadialSVM"	2	"acc"	0.875
"182"	"surv.grps"	"genes.vals"	"gene-wise"	"predictorLogitLasso"	2	"fpr"	0
"183"	"surv.grps"	"genes.vals"	"gene-wise"	"predictorLDA"	2	"tpr"	0.692307692307692
"184"	"surv.grps"	"genes.vals"	"gene-wise"	"predictorRadialSVM"	2	"ppv"	1
"185"	"surv.grps"	"genes.vals"	"gene-wise"	"predictorRadialSVM"	2	"fval"	0.266666666666667
"186"	"surv.grps"	"genes.vals"	"gene-wise"	"predictorRadialSVM"	2	"auroc"	0.703333333333333
"187"	"surv.grps"	"go.vals"	"func-wise"	"predictorRadialSVM"	2	"acc"	0.857954545454545
"188"	"surv.grps"	"go.vals"	"func-wise"	"predictorLogitLasso"	2	"fpr"	0
"189"	"surv.grps"	"go.vals"	"func-wise"	"predictorLDA"	2	"tpr"	0.692307692307692
"190"	"surv.grps"	"go.vals"	"func-wise"	"predictorGBM"	2	"ppv"	0.6
"191"	"surv.grps"	"go.vals"	"func-wise"	"predictorRadialSVM"	2	"fval"	0.285714285714286
"192"	"surv.grps"	"go.vals"	"func-wise"	"predictorRadialSVM"	2	"auroc"	0.664615384615385
"193"	"surv.grps"	"mini.genes.vals"	"gene-wise"	"predictorRadialSVM"	2	"acc"	0.852272727272727
"194"	"surv.grps"	"mini.genes.vals"	"gene-wise"	"predictorLogitLasso"	2	"fpr"	0
"195"	"surv.grps"	"mini.genes.vals"	"gene-wise"	"predictorLDA"	2	"tpr"	0.538461538461538
"196"	"surv.grps"	"mini.genes.vals"	"gene-wise"	"predictorGBM"	2	"ppv"	1
"197"	"surv.grps"	"mini.genes.vals"	"gene-wise"	"predictorRadialSVM"	2	"fval"	0.235294117647059
"198"	"surv.grps"	"mini.genes.vals"	"gene-wise"	"predictorRadialSVM"	2	"auroc"	0.686410256410257
"199"	"surv.grps"	"other.genes.vals"	"gene-wise"	"predictorRadialSVM"	2	"acc"	0.875
"200"	"surv.grps"	"other.genes.vals"	"gene-wise"	"predictorLogitLasso"	2	"fpr"	0
"201"	"surv.grps"	"other.genes.vals"	"gene-wise"	"predictorLDA"	2	"tpr"	0.653846153846154
"202"	"surv.grps"	"other.genes.vals"	"gene-wise"	"predictorRadialSVM"	2	"ppv"	1
"203"	"surv.grps"	"other.genes.vals"	"gene-wise"	"predictorRadialSVM"	2	"fval"	0.266666666666667
"204"	"surv.grps"	"other.genes.vals"	"gene-wise"	"predictorRadialSVM"	2	"auroc"	0.702820512820513
"205"	"surv.grps"	"path.vals"	"path-wise"	"predictorLinearSVM"	2	"acc"	0.857954545454545
"206"	"surv.grps"	"path.vals"	"path-wise"	"predictorLogitLasso"	2	"fpr"	0
"207"	"surv.grps"	"path.vals"	"path-wise"	"predictorLDA"	2	"tpr"	0.615384615384615
"208"	"surv.grps"	"path.vals"	"path-wise"	"predictorGBM"	2	"ppv"	0.75
"209"	"surv.grps"	"path.vals"	"path-wise"	"predictorLinearSVM"	2	"fval"	0.390243902439024
"210"	"surv.grps"	"path.vals"	"path-wise"	"predictorRadialSVM"	2	"auroc"	0.695641025641025
"211"	"tumor.grps"	"eff.vals"	"path-wise"	"predictorLinearSVM"	2	"acc"	1
"212"	"tumor.grps"	"eff.vals"	"path-wise"	"predictorLDA"	2	"fpr"	0
"213"	"tumor.grps"	"eff.vals"	"path-wise"	"predictorLogitLasso"	2	"tpr"	1
"214"	"tumor.grps"	"eff.vals"	"path-wise"	"predictorLDA"	2	"ppv"	1
"215"	"tumor.grps"	"eff.vals"	"path-wise"	"predictorLinearSVM"	2	"fval"	1
"216"	"tumor.grps"	"eff.vals"	"path-wise"	"predictorLinearSVM"	2	"auroc"	1
"217"	"tumor.grps"	"fun.vals"	"func-wise"	"predictorLogitLasso"	2	"acc"	0.994318181818182
"218"	"tumor.grps"	"fun.vals"	"func-wise"	"predictorLDA"	2	"fpr"	0
"219"	"tumor.grps"	"fun.vals"	"func-wise"	"predictorRadialSVM"	2	"tpr"	1
"220"	"tumor.grps"	"fun.vals"	"func-wise"	"predictorLDA"	2	"ppv"	1
"221"	"tumor.grps"	"fun.vals"	"func-wise"	"predictorLogitLasso"	2	"fval"	0.996845425867508
"222"	"tumor.grps"	"fun.vals"	"func-wise"	"predictorLogitLasso"	2	"auroc"	0.999630040695524
"223"	"tumor.grps"	"genes.vals"	"gene-wise"	"predictorRF"	2	"acc"	1
"224"	"tumor.grps"	"genes.vals"	"gene-wise"	"predictorRF"	2	"fpr"	0
"225"	"tumor.grps"	"genes.vals"	"gene-wise"	"predictorRF"	2	"tpr"	1
"226"	"tumor.grps"	"genes.vals"	"gene-wise"	"predictorRF"	2	"ppv"	1
"227"	"tumor.grps"	"genes.vals"	"gene-wise"	"predictorRF"	2	"fval"	1
"228"	"tumor.grps"	"genes.vals"	"gene-wise"	"predictorRF"	2	"auroc"	1
"229"	"tumor.grps"	"go.vals"	"func-wise"	"predictorLinearSVM"	2	"acc"	1
"230"	"tumor.grps"	"go.vals"	"func-wise"	"predictorLDA"	2	"fpr"	0
"231"	"tumor.grps"	"go.vals"	"func-wise"	"predictorRF"	2	"tpr"	1
"232"	"tumor.grps"	"go.vals"	"func-wise"	"predictorLDA"	2	"ppv"	1
"233"	"tumor.grps"	"go.vals"	"func-wise"	"predictorLinearSVM"	2	"fval"	1
"234"	"tumor.grps"	"go.vals"	"func-wise"	"predictorLogitLasso"	2	"auroc"	1
"235"	"tumor.grps"	"mini.genes.vals"	"gene-wise"	"predictorGBM"	2	"acc"	1
"236"	"tumor.grps"	"mini.genes.vals"	"gene-wise"	"predictorLDA"	2	"fpr"	0
"237"	"tumor.grps"	"mini.genes.vals"	"gene-wise"	"predictorGBM"	2	"tpr"	1
"238"	"tumor.grps"	"mini.genes.vals"	"gene-wise"	"predictorLDA"	2	"ppv"	1
"239"	"tumor.grps"	"mini.genes.vals"	"gene-wise"	"predictorGBM"	2	"fval"	1
"240"	"tumor.grps"	"mini.genes.vals"	"gene-wise"	"predictorGBM"	2	"auroc"	1
"241"	"tumor.grps"	"other.genes.vals"	"gene-wise"	"predictorRF"	2	"acc"	1
"242"	"tumor.grps"	"other.genes.vals"	"gene-wise"	"predictorRF"	2	"fpr"	0
"243"	"tumor.grps"	"other.genes.vals"	"gene-wise"	"predictorRF"	2	"tpr"	1
"244"	"tumor.grps"	"other.genes.vals"	"gene-wise"	"predictorRF"	2	"ppv"	1
"245"	"tumor.grps"	"other.genes.vals"	"gene-wise"	"predictorRF"	2	"fval"	1
"246"	"tumor.grps"	"other.genes.vals"	"gene-wise"	"predictorRF"	2	"auroc"	1
"247"	"tumor.grps"	"path.vals"	"path-wise"	"predictorLogitLasso"	2	"acc"	1
"248"	"tumor.grps"	"path.vals"	"path-wise"	"predictorLDA"	2	"fpr"	0
"249"	"tumor.grps"	"path.vals"	"path-wise"	"predictorLogitLasso"	2	"tpr"	1
"250"	"tumor.grps"	"path.vals"	"path-wise"	"predictorLDA"	2	"ppv"	1
"251"	"tumor.grps"	"path.vals"	"path-wise"	"predictorLogitLasso"	2	"fval"	1
"252"	"tumor.grps"	"path.vals"	"path-wise"	"predictorLinearSVM"	2	"auroc"	1
"253"	"basal.grps"	"eff.vals"	"path-wise"	"predictorLinearSVM"	3	"acc"	0.93
"254"	"basal.grps"	"eff.vals"	"path-wise"	"predictorLinearSVM"	3	"fpr"	0
"255"	"basal.grps"	"eff.vals"	"path-wise"	"predictorLDA"	3	"tpr"	0.85
"256"	"basal.grps"	"eff.vals"	"path-wise"	"predictorLinearSVM"	3	"ppv"	1
"257"	"basal.grps"	"eff.vals"	"path-wise"	"predictorLinearSVM"	3	"fval"	0.787878787878788
"258"	"basal.grps"	"eff.vals"	"path-wise"	"predictorRF"	3	"auroc"	0.8709375
"259"	"basal.grps"	"fun.vals"	"func-wise"	"predictorLinearSVM"	3	"acc"	0.92
"260"	"basal.grps"	"fun.vals"	"func-wise"	"predictorLinearSVM"	3	"fpr"	0
"261"	"basal.grps"	"fun.vals"	"func-wise"	"predictorLDA"	3	"tpr"	0.8
"262"	"basal.grps"	"fun.vals"	"func-wise"	"predictorLinearSVM"	3	"ppv"	1
"263"	"basal.grps"	"fun.vals"	"func-wise"	"predictorLinearSVM"	3	"fval"	0.75
"264"	"basal.grps"	"fun.vals"	"func-wise"	"predictorRadialSVM"	3	"auroc"	0.881875
"265"	"basal.grps"	"genes.vals"	"gene-wise"	"predictorGBM"	3	"acc"	0.91
"266"	"basal.grps"	"genes.vals"	"gene-wise"	"predictorLogitLasso"	3	"fpr"	0
"267"	"basal.grps"	"genes.vals"	"gene-wise"	"predictorLDA"	3	"tpr"	0.8
"268"	"basal.grps"	"genes.vals"	"gene-wise"	"predictorLogitLasso"	3	"ppv"	1
"269"	"basal.grps"	"genes.vals"	"gene-wise"	"predictorGBM"	3	"fval"	0.709677419354839
"270"	"basal.grps"	"genes.vals"	"gene-wise"	"predictorGBM"	3	"auroc"	0.853125
"271"	"basal.grps"	"go.vals"	"func-wise"	"predictorRadialSVM"	3	"acc"	0.91
"272"	"basal.grps"	"go.vals"	"func-wise"	"predictorRadialSVM"	3	"fpr"	0.0375
