"x"	"y"	"type"	"predictor"	"rank"	"othergene"	"varimp"
"85"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	35	"X_3491"	1.8768419613298
"86"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	36	"X_9079"	1.86081488319586
"87"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	37	"X_11190"	1.86058600990582
"88"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	38	"X_3347"	1.84377527986593
"89"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	39	"X_80726"	1.8198103514483
"90"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	40	"X_23020"	1.80809899512211
"91"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	41	"X_149647"	1.80138877432285
"92"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	42	"X_1431"	1.79941140228193
"93"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	43	"X_387914"	1.78529834996682
"94"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	44	"X_550643"	1.78355052551051
"95"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	45	"X_115207"	1.76739618867989
"96"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	46	"X_84618"	1.75958099809431
"97"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	47	"X_126393"	1.75309863172417
"98"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	48	"X_4239"	1.74863288098852
"99"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	49	"X_5709"	1.74609538362856
"100"	"path.and.other.genes.vals"	"surv.grps"	"mix-wise"	"predictorRF"	50	"X_401052"	1.73843326186147
